player1,player2,deckcode1,deckcode2,characters1,characters2,score1,score2,week_game,isDrop,isBye,isTie,isIncluded,isMirror,server,matchNum,week,game
Nukleer,Ianradtan,GzDA4QEOABCg7pcOCeBx9DMPGEAh9oIQDFEgBcIQDHGQO8kTDbEQr9EaGvER3KEdGsAA,AhDBwW4MFFAhxXcMCJDQyY4aEjDh6S4OCZBw7pcOGOEhA4IQGTExPJMTC8HQEL0RDAAA,Ganyu\\Mualani\\Xingqiu,Millennial Pearl Seahorse\\Yun Jin\\Zhongli,0,1,1\\1,,,,TRUE,FALSE,AS,1,1,1
Minty,Remi,GJDB2xkOHJDR6Y8OGKDx6s8PHEDw9JcPCWFxOzMTE7ExxFccFUFw1LYdC0Fg3NkdDcAA,HZBRypgMEaBh2dcNHZBx2yoPEiCg8oMPCEAw9JcTCbFxOzEQE8ExEJMRGQEw3MkdDMAA,Kachina\\Lyney\\Navia,Azhdaha\\Sethos\\Xianyun,1,0,1\\1,,,,TRUE,FALSE,AS,2,1,1
AIR,Trion,HJDR6RkOGKDB6o8PGGHxB88QHHHwO5cTCbFxxFccFUFwr7YaC/Fg1MYdDEFg3NsdDsAA,ERBgxBMMA0CQyU8MBJHxOCoTEoCg3pcPE0AB9FcPFWBx9oITGLEgO7YYC6HQisEQDLAA,Kachina\\Lyney\\Navia,Azhdaha\\Bennett\\Electro Hypostasis,1,0,1\\1,,,,TRUE,FALSE,AS,3,1,1
Eon!!!,LOKI,AGCg1gQNAZCw2ZcVE6AB9DAPE0AR9jMQE4EwCMQTDLFATMoUDMGgENERDQER1EkdDUAA,HpFSypkOFRES0tgOCrFx9aUQFGEC9zERFoJyCVgUDLLxPMARDdJB1cUeDUJh3cceDcEB,Chongyun\\Razor\\Xingqiu,Cryo Hypostasis\\Sethos\\Xianyun,1,0,1\\1,,,,TRUE,FALSE,AS,4,1,1
VPNilou,ersihfrans,A0FRlHAVHaBg9HEPB0AR/nkPF+GQip0YCaHRrtkaHeGQy70cGLFB04QdGDFR24UdGbAA,E2DwxB0MFUDwyVkMFpAh42IOCDDg5JwOCUDA9J0PCUDR9oIPGGEgirYYC6HREzYdE0AA,All-Devouring Narwhal\\Rhodeia of Loch\\Xilonen,Cyno\\Emperor of Fire and Iron\\Thoma,1,0,1\\1,,,,TRUE,FALSE,AS,5,1,1
Hotaru,Ark,EUFxWmwOABDR4iwPEkDA9J0PCWDR+YEPGJERW7cYG6FwlrYWC5Fgab0dFUGA1MQPDGAA,GJDB6RkOHKDR6o8PGGHxB88QHHHwO5cTCbFxxFccFUFwr7YaC/Fg1MYdDEFg3NsdDsAA,Furina\\Layla\\Sangonomiya Kokomi,Kachina\\Lyney\\Navia,0,0,1\\1,,,TRUE,TRUE,FALSE,AS,6,1,1
Milind,Paroy,AKDRyrING+AR4bQOGxBB8rUPGyBR9DMPE0Ax9rcPG2FwEbQRCxGATbgUDNFgacYWDJAA,HMDh7BwPAQCR8NAPHUAA9JcPCVBx9oMUGLEwS7QZC2FRljUbE6FRulocDsGw1OsdDkAA,Golden Wolflord\\Sangonomiya Kokomi\\Sigewinne,Alhaitham\\Dehya\\Emilie,0,1,1\\1,TRUE,,,,FALSE,AS,7,1,1
sousou,Kaizen,HaBh8s0PAyCw9JcPCUFxAzMQEzExB1cQFXFwO70TDLGQiskYDaGwy+kcDrGQr+oaDvAA,AJBxyRgNAhBw0WMNCDAw3YoOCOCg7o4PCEDg9JcPCWBx9lcQFWFwBr8TDLFQ1MUdDEAA,Kachina\\Stonehide Lawachurl\\Xilonen,Shenhe\\Xiao\\Yelan,0,1,1\\1,,,,TRUE,FALSE,AS,8,1,1
ApexKiller,『Hɨkɑʀʊ』,HZBgyRcNFhHhWncOF5Bw6Y0OCKDh6i4OEuDg7pcQCTFxA5MQGVEwEL0RDAFQ3MUdDMAA,HaBR0JgNFQDh0dcNFhAQ15cVCaBx9DMPE0ExB1cQFXFxO5MTGbEwPsYTDOFg3ModDMAA,Hu Tao\\Xilonen\\Yun Jin,Abyss Herald: Wicked Torrents\\Sethos\\Xianyun,0,1,1\\1,,,,TRUE,FALSE,AS,9,1,1
zhurowzhu,DarkShrine,ApDA7hcOHODR8s8PCSBw9JcPGEEhA4IQDDGQB8kQDXEQO9ETGrERxKEcDUGwr+kaDvAA,FpDhydYNARFxOncVF6Bw6Y0OCJDh7i4OEuDg8pcQCTFxA5MQGVEwEL0RDAFQ3MUdDMAA,Hu Tao\\Kachina\\Zhongli,Hu Tao\\Xilonen\\Yun Jin,0,1,1\\1,,,,TRUE,FALSE,AS,10,1,1
imo,SOMU,AGEQNgwMG1DQxYMNCKExWi8PFEBw9JcPCWBx9jMQFWFxBpMTGbEw1L8dC0Hx3DUdE8AA,FZDA0SYNARFxWmMPFkAw9ZsPE2AB9kgWFIGBloEQGKEQDcQWDJFAacYdDEFg1MkdDMAA,Clorinde\\Ganyu\\Tartaglia,Hu Tao\\Kuki Shinobu\\Venti,0,1,1\\1,,,,TRUE,FALSE,AS,11,1,1
