player1,player2,playerid1,playerid2,deckcode1,deckcode2,characters1,characters2,score1,score2,week_game,isDrop,isBye,isTie,isIncluded,isMirror,server,matchNum,week,game
ぺとる,Nukleer,120,178,FUHAoxcPHmDh9mofH4ER+GMQFqExC7cQG+FwD70UDNFgacYcDFGQ1NAdDUEQ3NEdGcAA,A3GA9wgTA4GQOEQeB3BA9HUPFUBx9VcUDMEQTMEbG6GRurkeDaEQ1NEdH0Fh3PYdH8AA,Gluttonous Yumkasaur Mountain King\\Hu Tao\\Kuki Shinobu,Abyss Lector: Fathomless Flames\\Electro Hypostasis\\Qiqi,0,0,2\\1,,,TRUE,TRUE,FALSE,AS,1,2,1
Remi,尔里西里|Akira,313,8,AGCx2bINGJDB3o8OG5BQ6ZcOCaBw6qQPCiBB9DMPE0Ax9VcPFWFwO8ETDLER1DYdE0AA,HWBRypgMEaBh0dcaEjCg9JcPCUBw9qATCrFBO1cQFbFxDJMQGcEwD7QRCwFAEMYdDMAA,Golden Wolflord\\Mona\\Navia,Azhdaha\\Sethos\\Xianyun,0,1,2\\1,,,,TRUE,FALSE,AS,2,2,1
A,Maks,342,168,ARAwxDkMEUBgyU8MBJHxOCoVEqGgo5cPE0AB9FcPFVBx9oIPGGEgirYZC2Fg1MEdDMAA,ARAxxBYMA0CQyU8MBJHxOCoTEoGgo5cPFECB9FcPFWBx9oIYGKEgirYZC2Fg3MEdDMAA,Azhdaha\\Bennett\\Electro Hypostasis,Azhdaha\\Bennett\\Electro Hypostasis,0,1,2\\1,,,,TRUE,TRUE,AS,3,2,1
696首,もちつき,221,187,EaCByr0NEZBR2S8NErDw9JcPCUBx9TEPE2EhCDITFbFxO1cQGcExDJMRDAFgEMYdDEAA,A5BgyQQNFBAB0UQNCKBg9IYPCUBx9jAPE2EBCDMQFYFxO1cTC7Hwir8dDEFA1MQdDMAA,Clorinde\\La Signora\\Yelan,Chongyun\\Mirror Maiden\\Sayu,0,1,2\\1,,,,TRUE,FALSE,AS,4,2,1
Rikka,Kanon,317,297,EWFxo98PF0AB9HkQCTHQA50UGMFRTIUYDKEwitEZDWER24YdGLFh6JQeGYFB3PYdH8AA,AQBx4N0PG0AB9GMPFmExCLcUHsFRaLgYG6GAir0ZDGFg+MYfDYEBCucWDZHwxd8dDsAA,All-Devouring Narwhal\\Chasca\\Layla,Citlali\\Hu Tao\\Rosaria,1,0,2\\1,,,,TRUE,FALSE,AS,5,2,1
Paroy,Kaizen,118,69,EcCR8c4PHBBx8tAPCSBw85cPGTAx9pMbC6FAurUcC0FQxNQTDeGwPuscDsGw1OwdDkAA,FnHRkx4ZHTDRtHYLF0BgvYUTCGFQNoYNCKBh9n8PF2HxOzETE7ERDDMQE8Ex1FcdFUAA,Emilie\\Kinich\\Lyney,Citlali\\Thunder Manifestation\\Xinyan,0,1,2\\1,,,,TRUE,FALSE,AS,6,2,1
Ianradtan,Ferry,59,343,AFCwySkMHpDQ0XoNBxDA3XwOB3DQ55cOCYBw6JgPCUCB9IIPGJEgAsQQDCFABcUQDKAA,AlAA5gEOAWDA8ZcPCUBw9JoPCVCw9psPE2FAisQYDKFA+MYQDKFgCswdDUEQ1OUdDsAA,Mona\\Shikanoin Heizou\\Wanderer,Ganyu\\Keqing\\Raiden Shogun,1,0,2\\1,,,,TRUE,FALSE,AS,7,2,1
Ark,ersihfrans,13,45,GKDB6t4PHEDR9I8PGGHwB5cQCXFxO1cTFbFxxKscGkGxr6EaGvEQ1NsdDkGQ3OkdDsAA,AGDxyd0MFZDx0GINFhAg0Z0PCWDR9jAZE2EB6lceFaFwPr8TC+Hw1MQdDEFA3MYdDMAA,Kachina\\Mavuika\\Navia,Candace\\Citlali\\Emperor of Fire and Iron,0,1,2\\1,,,,TRUE,FALSE,AS,8,2,1
uัnloิunาง,DarkShrine,293,28,G4ARxE4MAEHRWrYOGyBg4p0YFJCB9kgPGGERaIEdGzFxEZ4WC5FgabYdC0HQ3L0dFcAA,AACx0ewNHRHR9uAaBzCg9HwPCUDR9kgPFGGB+IIfGIEhabcWDJFA1MQdDEFg3MYdDcAA,Charlotte\\Sangonomiya Kokomi\\Sigewinne,Citlali\\Lan Yan\\Mona,0,0,2\\1,,,TRUE,TRUE,FALSE,AS,9,2,1
Ianradtan,ersihfrans,59,45,AFCwySkMHpDQ0XoNBxDA3XwOB3DQ55cOCYBw6JgPCUCB9IIPGJEgAsQQDCFABcUQDKAA,AGDxyd0MFZDx0GINFhAg0Z0PCWDR9jAZE2EB6lceFaFwPr8TC+Hw1MQdDEFA3MYdDMAA,Mona\\Shikanoin Heizou\\Wanderer,Candace\\Citlali\\Emperor of Fire and Iron,1,0,2\\2,,,,TRUE,FALSE,AS,10,2,2
