player1,player2,playerid1,playerid2,deckcode1,deckcode2,characters1,characters2,score1,score2,week_game,isDrop,isBye,isTie,isIncluded,isMirror,server,matchNum,week,game
Takumi-Parfaits,BYE,667,,JMCQ6xwOA7AQ7FgOBcCC9CYPIkBg9pAPCWEB22QdFrJAOLojC4KhXrklG+GQ1NsdJUAA,,Keqing\\Lauma\\Nahida,,1,,2\\1,,TRUE,,,FALSE,AS,1,2,1
Astra,Kaizen,639,69,AUAw4zsOIjDQ5E8OBEDw9JEPCUBx9TEPE2AR9jMTFbFxO5MZGVIwHr0hDOES1B0dJEAA,A4CS6AoPJSBg8pcPCUBx9DMPFVFxO1cTG7GRTLkUI8FClTQZDVGy21EdDrFwr+caDvAA,Bennett\\Goldflame Qucusaur Tyrant\\Stonehide Lawachurl,Black Serpent Knight: Windcutter\\Electro Hypostasis\\Ifa,0,1,2\\1,,,,TRUE,FALSE,AS,2,2,1
Ghosty,DarkShrine,338,28,AUDB9FAPFVDB9lQPFWFAipcYCaJxHmQhFuJAOMMjJYIiR1wkDnFQCuUQDqFg1OYdD0AA,ILKiWzoOJXBi5w0OCYBw6JcUFcFxTFcZG1FxlbcdI7FC2zQQDNEwDcMQDPFgD8YRDTAA,Keqing\\Kirara\\Kuki Shinobu,Black Serpent Knight: Windcutter\\Dahlia\\Ifa,0,1,2\\1,,,,TRUE,FALSE,AS,3,2,1
尔里西里|Akira,Bored guy,8,50,ImEBA98QFzEBinkYIaGylRsZGFFR24UdGbFB6JQeIYLCExwhITLQHvQhD+JAOfYjD5AA,FbAA7BwOA8DA9JcPCUBx9jMTE7ExO1cZFVFxlbkdG7GQ29kjDYKSOFIkJXLAR+sRDhAA,All-Devouring Narwhal\\Chasca\\Skirk,Jadeplume Terrorshroom\\Keqing\\Kirara,0,1,2\\1,,,,TRUE,FALSE,AS,4,2,1
GT-29,JatNad,640,64,FbAA7BwOA8DA9JcPCUBw9aQPClBB9jMQE4ExCFcTFbFxO7kZG1GS21IdJbHA1OsdDkAA,G0DR9I0PEWFSCBAUIcECTBsgIWKwBr0hITLCExwhIeLSHjYiDaHwC98RDjEA1OAdD0AA,Jadeplume Terrorshroom\\Keqing\\Kirara,Clorinde\\Frost Operative\\La Signora,1,0,2\\1,,,,TRUE,FALSE,AS,5,2,1
SOMU,Oldbie is coming,267,669,IqFS9RoQIUGx95gQCmJyuzQcFKMxBMchDTNhB8shDWKhDNIXDpISzUsdFcKh1d0eFEEB,EiGR9QwQIUKxCZgRCoJxPKUaC1JCljQcFKIyu7geDbKh3MshJjMjBDghD2MRB+MeD0EB,Escoffier\\Hydro Tulpa\\Lyney,Hydro Tulpa\\Lyney\\Mona,1,0,2\\1,,,,TRUE,FALSE,AS,6,2,1
(´･ω･`),Ianradtan,673,59,IeJxRLIOHJBh6cgOHKCB6rUPCBDg8Y4PCZDQ+Z0QC2HwBr8dI7Ei2zIQDLEwC8MdDUAA,AbDA7DwOFcAA8pcPCSBw9aQPClBB9jMPE2ExCFcQFYFxO7kTG7GS21IdJbLAR+skDnAA,Arlecchino\\Black Serpent Knight: Rockbreaker Ax\\Golden Wolflord,Jadeplume Terrorshroom\\Keqing\\Kirara,1,0,2\\1,,,,TRUE,FALSE,AS,7,2,1
Linux,Sora,85,645,FaDC2wolHhDR5/AOH3AA6JcOCYBx8jMPEyAx9lcPFWFxO5MTGbEw28MdDLEw1ModDEAA,ABDQ4gkOHyDA9JcPCUFxA4IQGDEgTL0YGKFRioUeDIHR6IcjGJJyOR0QI7Fw1OEdDkAA,Ifa\\Kuki Shinobu\\Shikanoin Heizou,Barbara\\Lord of Eroded Primal Fire\\Sangonomiya Kokomi,1,0,2\\1,,,,TRUE,FALSE,AS,8,2,1
Mischa,BYE,670,,A7DB6x4OAsDw7GsPBiCx8igPEkCA9HgPFlBB9WQPE2FhlTYkDHLQR80QJaEiE1wdDkAA,,Collei\\Jadeplume Terrorshroom\\Thunder Manifestation,,1,,2\\1,,TRUE,,,FALSE,AS,9,2,1
crackselo,Paroy,371,118,A7DB6x4OAsDw7GsPBiCx8igPEkCA9HgPFlBB9mQZE1JhRzYkDHHQCs0RJTEi1FwdDkAA,ATCg2jAlAsDw62sOBrCw7GwOBsDA8IMPCAAw9JcPCUBx9VcPFWFxBmQTFrJBB5MgGXAA,Collei\\Jadeplume Terrorshroom\\Thunder Manifestation,Collei\\Fischl\\Tighnari,1,0,2\\1,,,,TRUE,FALSE,AS,10,2,1
Ryssa,Огурчик238,133,279,FbAA7BwOA8DA9JcPCUBw9aQPClBB9jMQE4ExCFcTFbFxO7kZG1GS21IdJbHA1OsdDkAA,IjIhUm8kFTDh/n8PF+HwAaMQChExA9EQHTER09kdHTKSXTMlI9IwU9slDTLBXzolGvAA,Jadeplume Terrorshroom\\Keqing\\Kirara,Abyss Herald: Wicked Torrents\\Consecrated Horned Crocodile\\Kaveh,0,1,2\\1,,,,TRUE,FALSE,AS,11,2,1
Astra,BYE,639,,AUAw4zsOIjDQ5E8OBEDw9JEPCUBx9TEPE2AR9jMTFbFxO5MZGVIwHr0hDOES1B0dJEAA,,Bennett\\Goldflame Qucusaur Tyrant\\Stonehide Lawachurl,,1,,2\\2,,TRUE,,,FALSE,AS,12,2,2
Ryssa,Paroy,133,118,FbAA7BwOA8DA9JcPCUBw9aQPClBB9jMQE4ExCFcTFbFxO7kZG1GS21IdJbHA1OsdDkAA,ATCg2jAlAsDw62sOBrCw7GwOBsDA8IMPCAAw9JcPCUBx9VcPFWFxBmQTFrJBB5MgGXAA,Jadeplume Terrorshroom\\Keqing\\Kirara,Collei\\Fischl\\Tighnari,0,1,2\\2,,,,TRUE,FALSE,AS,13,2,2
GT-29,DarkShrine,640,28,FbAA7BwOA8DA9JcPCUBw9aQPClBB9jMQE4ExCFcTFbFxO7kZG1GS21IdJbHA1OsdDkAA,ILKiWzoOJXBi5w0OCYBw6JcUFcFxTFcZG1FxlbcdI7FC2zQQDNEwDcMQDPFgD8YRDTAA,Jadeplume Terrorshroom\\Keqing\\Kirara,Black Serpent Knight: Windcutter\\Dahlia\\Ifa,0,1,2\\2,,,,TRUE,FALSE,AS,14,2,2
(´･ω･`),BYE,673,,IeJxRLIOHJBh6cgOHKCB6rUPCBDg8Y4PCZDQ+Z0QC2HwBr8dI7Ei2zIQDLEwC8MdDUAA,,Arlecchino\\Black Serpent Knight: Rockbreaker Ax\\Golden Wolflord,,1,,2\\2,,TRUE,,,FALSE,AS,15,2,2
Ghosty,JatNad,338,64,AUDB9FAPFVDB9lQPFWFAipcYCaJxHmQhFuJAOMMjJYIiR1wkDnFQCuUQDqFg1OYdD0AA,G0DR9I0PEWFSCBAUIcECTBsgIWKwBr0hITLCExwhIeLSHjYiDaHwC98RDjEA1OAdD0AA,Keqing\\Kirara\\Kuki Shinobu,Clorinde\\Frost Operative\\La Signora,0,1,2\\2,,,,TRUE,FALSE,AS,16,2,2
Linux,Огурчик238,85,279,FaDC2wolHhDR5/AOH3AA6JcOCYBx8jMPEyAx9lcPFWFxO5MTGbEw28MdDLEw1ModDEAA,IjIhUm8kFTDh/n8PF+HwAaMQChExA9EQHTER09kdHTKSXTMlI9IwU9slDTLBXzolGvAA,Ifa\\Kuki Shinobu\\Shikanoin Heizou,Abyss Herald: Wicked Torrents\\Consecrated Horned Crocodile\\Kaveh,1,0,2\\2,,,,TRUE,FALSE,AS,17,2,2
